filenames,AU.01.a,AU.01.b,AU.02,AU.04,AU.05,AU.05.a,AU.05.b,AU.06,AU.07,AU.07.a,AU.08,AU.09,AU.10,AU.10.a,AU.11,AU.11.a,AU.11.b,AU.11.c,AU.12,AU.12.a,AU.13,AU.13.a,AU.27,AU.27.a,AU.27.b,AU.27.c,AU.27.d,AU.28,AU.28.a,AU.28.b,AU.29,AU.29.a,AU.29.b,AU.29.c,AU.29.d,AU.30,AU.34,AU.36,AU.37.c,AU.47,AU.47.a,AU.47.a.01,AU.47.b,AU.47.c,AU.47.d
Anon.1KingJohn.A04520,0,0,1,19,2,0,0,1,2,1,25,4,6,0,15,3,1,5,19,5,2,2,24,3,0,7,0,0,0,0,19,0,5,0,2,34,16,4,7,35,7,0,0,0,3
Anon.2KingJohn.A04520,2,2,1,34,7,0,1,3,9,7,48,5,14,0,42,9,2,15,30,7,5,5,72,15,1,22,4,0,0,0,48,0,16,1,2,75,34,15,17,68,20,0,0,0,3
Anon.FamousVictoriesHenryV,0,0,0,6,2,0,2,4,9,9,16,0,9,0,9,1,0,2,6,2,5,4,34,4,2,9,8,5,2,3,19,1,5,1,0,16,15,8,10,27,7,0,0,0,0
Anon.JackStraw.A13062,0,0,1,9,1,0,0,0,5,3,10,0,4,0,10,1,0,1,1,1,2,2,21,5,2,9,2,0,0,0,12,0,2,1,0,19,27,11,5,19,6,0,0,0,2
Anon.KingEdwardIII.A21144,2,7,10,23,4,0,4,6,8,4,42,5,6,0,46,9,0,8,19,9,5,4,104,28,11,15,17,15,10,4,80,0,28,5,0,31,26,7,11,62,27,0,2,0,2
Anon.NobodyAndSomebody.A08262,0,0,1,12,1,0,0,7,24,20,30,0,10,0,33,8,0,4,4,1,5,5,137,50,13,16,12,7,4,3,63,2,24,0,2,48,26,19,5,49,21,0,0,0,0
Anon.RichardIIWoodstock,0,3,7,17,3,0,3,11,14,10,71,1,11,0,25,0,0,4,15,10,18,17,72,11,24,14,9,7,4,3,46,0,18,1,1,15,24,29,0,78,27,0,0,0,4
Anon.TheWasp,0,0,1,13,4,0,2,5,8,6,39,2,11,0,14,7,0,0,9,7,9,7,142,55,5,52,9,13,6,7,56,4,22,3,0,72,19,19,0,73,14,0,1,0,0
Anon.TrialOfChivalry.A68191,1,0,1,37,1,0,1,3,8,6,37,6,15,0,46,6,2,16,8,3,7,5,220,84,20,15,21,15,10,5,145,0,40,10,0,75,16,10,2,90,32,0,0,0,3
Anon.TrueTragedieRichardIII,1,0,3,13,0,0,0,1,16,13,55,1,14,0,50,21,0,4,11,7,3,2,71,14,4,22,16,4,3,1,44,0,20,0,1,75,23,29,3,56,16,0,0,0,5
Dekker.SirThomasWyatt.A20096,1,1,3,9,1,0,0,2,10,9,26,0,3,0,16,4,0,4,4,0,3,3,75,27,15,9,6,7,2,5,46,0,22,0,0,23,27,7,2,27,10,0,1,1,0
Drue.DuchessOfSuffolk.A20866,0,1,4,23,0,0,0,10,24,20,46,4,9,0,33,8,0,10,12,1,5,0,119,52,13,21,21,17,12,5,71,0,36,1,0,56,17,25,3,42,13,0,2,1,1
Fisher.FusimusTroes,3,2,4,24,4,1,3,6,9,5,25,8,5,0,57,4,3,18,12,9,6,4,99,31,12,15,7,29,17,7,80,0,18,2,2,46,29,7,1,90,28,0,0,0,1
Ford.PerkwinWarbeck.A01047,0,0,4,24,4,1,1,17,18,16,45,3,9,0,44,10,0,4,16,6,11,7,121,36,14,46,13,13,10,3,61,0,27,7,2,68,56,40,4,78,14,0,9,1,6
Heywood.1IfYouKnotNotMe.A03208,0,0,2,6,3,0,0,6,12,10,37,4,2,0,30,6,0,10,5,2,0,0,80,42,9,9,4,6,4,2,61,0,25,0,1,18,17,20,6,17,4,0,0,0,0
Heywood.1KingEdwardIV.A03224,0,0,1,23,3,0,1,5,21,19,62,0,13,0,25,9,0,2,26,21,4,3,106,23,13,26,8,13,0,13,67,1,21,4,1,60,19,40,6,67,15,0,0,0,5
Heywood.2IfYouKnowNotMe.A03217,1,1,2,22,1,0,0,5,14,13,56,1,14,0,23,6,0,5,20,13,18,13,142,62,9,31,6,5,0,5,73,2,30,3,1,110,28,40,3,55,32,0,0,1,0
Heywood.2KingEdwardIV.A03224,1,1,6,22,2,0,2,9,24,17,48,4,18,0,56,35,0,2,10,1,8,7,107,24,11,23,17,18,9,6,88,2,38,1,1,68,52,33,5,49,18,0,1,0,1
Marlowe.EdwardII.A07018,4,0,0,21,1,0,0,9,24,19,50,6,14,0,36,12,0,4,13,5,15,12,100,26,12,12,14,12,6,4,81,0,21,1,0,72,30,14,11,39,10,0,0,2,1
Munday.1SirJohnOldcastle.A08469,0,0,1,27,5,0,0,6,20,14,49,0,7,0,18,5,0,3,18,12,4,3,75,13,17,28,5,7,3,3,79,1,55,0,0,57,20,25,5,51,16,0,0,0,2
Munday.DeathOfRobert.A07897,0,2,4,35,2,0,2,4,17,12,42,6,12,0,38,11,0,7,30,15,13,12,142,28,16,29,13,11,3,7,112,0,42,6,1,79,55,27,1,55,32,0,0,0,3
Munday.Downfall&DeathRobertEarl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peele.EdwardI.A09224,1,2,0,12,5,0,1,11,13,9,68,0,20,0,40,12,0,6,22,11,4,4,162,41,20,38,13,16,7,7,134,0,36,5,1,241,26,24,16,66,24,0,0,0,2
Rowley.WhenYouSeeMe.A11146,0,0,0,18,2,1,0,11,17,14,63,2,13,0,39,6,0,12,15,14,6,5,125,53,16,20,5,8,5,2,72,3,23,1,1,67,20,49,22,72,20,0,0,0,1
SW.SirThomasCromwell.A11265,0,0,2,12,1,0,1,0,13,12,31,1,9,0,24,11,0,5,11,6,3,2,79,32,5,12,8,5,4,1,37,0,16,0,0,30,22,29,0,25,6,0,0,0,0
